DEPARTAMENTO,MUNICIPIO,NUMERO_DEL_PREDIO,NUMERO_DE_ORDEN,TOTAL_REGISTROS,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA,AVALUO,VIGENCIA,NUMERO_PREDIAL_ANTERIOR
27,495,0001000000010070000000000,1,1,D,124000,0,45897000,1012022,100010070000
27,495,0001000000010071000000000,1,1,D,150000,0,15546000,1012022,100010071000
27,495,0001000000010072000000000,1,1,D,21200,0,2197000,1012022,100010072000
27,495,0001000000010073000000000,1,1,D,7600,0,787000,1012022,100010073000
27,495,0001000000010074000000000,1,1,D,74800,0,11074000,1012022,100010074000
27,495,0001000000010075000000000,1,1,D,157200,0,16292000,1012022,100010075000
27,495,0001000000010076000000000,1,1,D,820000,0,84983000,1012022,100010076000
27,495,0001000000010077000000000,1,1,D,603480,0,89351000,1012022,100010077000
27,495,0001000000010078000000000,1,1,D,120000,0,17766000,1012022,100010078000
27,495,0001000000010079000000000,1,1,D,460500,0,95453000,1012022,100010079000
27,495,0001000000010080000000000,1,2,D,302000,0,31299000,1012022,100010080000
27,495,0001000000010080000000000,2,2,D,302000,0,31299000,1012022,100010080000
27,495,0001000000010081000000000,1,1,D,4795,0,12423000,1012022,100010081000
27,495,0001000000010082000000000,1,2,D,54000,0,7994000,1012022,100010082000
27,495,0001000000010082000000000,2,2,D,54000,0,7994000,1012022,100010082000
27,495,0001000000010083000000000,1,1,D,148250,0,15367000,1012022,100010083000
27,495,0001000000010084000000000,1,1,D,114500,0,11868000,1012022,100010084000
27,495,0001000000010085000000000,1,1,D,12300,0,1275000,1012022,100010085000
27,495,0001000000010086000000000,1,1,D,60000,0,3997000,1012022,100010086000
27,495,0001000000010087000000000,1,1,D,135000,0,13992000,1012022,100010087000
27,495,0001000000010088000000000,1,1,D,40000,0,4147000,1012022,100010088000
27,495,0001000000010089000000000,1,1,D,12000,0,1243000,1012022,100010089000
27,495,0001000000010090000000000,1,1,D,36000,0,3730000,1012022,100010090000
27,495,0001000000010091000000000,1,1,D,278000,0,28813000,1012022,100010091000
27,495,0001000000010092000000000,1,3,D,2000,0,208000,1012022,100010092000
27,495,0001000000010092000000000,2,3,D,2000,0,208000,1012022,100010092000
27,495,0001000000010092000000000,3,3,D,2000,0,208000,1012022,100010092000
27,495,0001000000010093000000000,1,1,D,2000,0,208000,1012022,100010093000
27,495,0001000000010094000000000,1,1,D,1675,0,347000,1012022,100010094000
27,495,0001000000010095000000000,1,1,D,58500,0,6062000,1012022,100010095000
27,495,0001000000010096000000000,1,1,A,375,0,40000,1012022,100010096000
27,495,0001000000010097000000000,1,1,D,1886,0,391000,1012022,100010097000
27,495,0001000000010098000000000,1,1,D,420351,0,43564000,1012022,100010098000
27,495,0001000000010099000000000,1,2,A,874,0,92500,1012022,100010099000
27,495,0001000000010099000000000,2,2,A,874,0,92500,1012022,100010099000
27,495,0001000000010100000000000,1,1,A,372,0,39000,1012022,100010100000
27,495,0001000000010101000000000,1,1,A,493,0,52500,1012022,100010101000
27,495,0001000000010102000000000,1,1,A,824,0,87500,1012022,100010102000
27,495,0001000000010103000000000,1,1,D,20300,0,2103000,1012022,100010103000
27,495,0001000000010104000000000,1,1,A,140,0,16000,1012022,100010104000
27,495,0001000000010105000000000,1,1,A,186,0,20000,1012022,100010105000
27,495,0001000000010106000000000,1,1,A,285,0,31000,1012022,100010106000
27,495,0001000000010107000000000,1,1,D,284250,0,29459000,1012022,100010107000
27,495,0001000000010108000000000,1,1,A,226,0,23000,1012022,100010108000
27,495,0001000000010109000000000,1,1,D,37250,0,3861000,1012022,100010109000
27,495,0001000000010110000000000,1,1,D,28250,0,2927000,1012022,100010110000
27,495,0001000000010111000000000,1,1,D,5000,0,518000,1012022,100010111000
27,495,0001000000010112000000000,1,1,A,900,0,96500,1012022,100010112000
27,495,0001000000010113000000000,1,1,D,6000,0,623000,1012022,100010113000
27,495,0001000000010114000000000,1,1,D,24300,0,2517000,1012022,100010114000
27,495,0001000000010115000000000,1,1,D,280609,0,29080000,1012022,100010115000
27,495,0001000000010116000000000,1,1,D,150500,0,15597000,1012022,100010116000
27,495,0001000000010117000000000,1,1,D,43750,0,4535000,1012022,100010117000
27,495,0001000000010118000000000,1,1,D,53750,0,5572000,1012022,100010118000
27,495,0001000000010119000000000,1,1,D,241500,0,25030000,1012022,100010119000
27,495,0001000000010120000000000,1,1,D,78500,0,8136000,1012022,100010120000
27,495,0001000000010121000000000,1,1,D,9194,0,612000,1012022,100010121000
27,495,0001000000010122000000000,1,1,D,65687,0,6810000,1012022,100010122000
27,495,0001000000010123000000000,1,1,D,2390,0,248000,1012022,100010123000
27,495,0001000000010124000000000,1,1,D,62750,0,6503000,1012022,100010124000
27,495,0001000000010125000000000,1,1,D,150000,0,15546000,1012022,100010125000
27,495,0001000000010126000000000,1,1,D,789500,0,81824000,1012022,100010126000
27,495,0001000000010127000000000,1,1,A,216,0,22000,1012022,100010127000
27,495,0001000000010128000000000,1,1,D,2880,0,1066000,1012022,100010128000
27,495,0001000000010129000000000,1,1,D,92250,0,9559000,1012022,100010129000
27,495,0001000000010130000000000,1,1,D,539797,0,55944000,1012022,100010130000
27,495,0001000000010131000000000,1,1,D,416500,0,43167000,1012022,100010131000
27,495,0001000000010132000000000,1,1,D,184000,0,19070000,1012022,100010132000
27,495,0001000000010133000000000,1,1,D,934500,0,96852000,1012022,100010133000
27,495,0001000000010134000000000,1,1,D,5000,0,518000,1012022,100010134000
27,495,0001000000010135000000000,1,1,D,881830,0,91393000,1012022,100010135000
27,495,0001000000010136000000000,1,1,D,54500,0,5649000,1012022,100010136000
27,495,0001000000010137000000000,1,1,D,169750,0,17594000,1012022,100010137000
27,495,0001000000010138000000000,1,1,D,120500,0,24978000,1012022,100010138000
27,495,0001000000010139000000000,1,1,D,1947000,0,129720000,1012022,100010139000
27,495,0001000000010140000000000,1,1,D,187000,0,19380000,1012022,100010140000
27,495,0001000000010141000000000,1,1,D,6146,0,636000,1012022,100010141000
27,495,0001000000010142000000000,1,1,D,2000,0,208000,1012022,100010142000
27,495,0001000000010143000000000,1,1,D,9021,0,935000,1012022,100010143000
27,495,0001000000010144000000000,1,1,D,3200,0,332000,1012022,100010144000
27,495,0001000000010145000000000,1,1,D,678000,0,140535000,1012022,100010145000
27,495,0001000000010146000000000,1,1,D,27125,0,5623000,1012022,100010146000
27,495,0001000000010147000000000,1,1,D,25530,0,2646000,1012022,100010147000
27,495,0001000000010148000000000,1,1,D,147000,0,30470000,1012022,100010148000
27,495,0001000000010149000000000,1,1,D,440437,0,45648000,1012022,100010149000
27,495,0001000000010150000000000,1,1,D,54750,0,11349000,1012022,100010150000
27,495,0001000000010151000000000,1,1,D,273750,0,28371000,1012022,100010151000
27,495,0001000000010152000000000,1,1,D,23531,0,2439000,1012022,100010152000
27,495,0001000000010153000000000,1,1,D,774000,0,51569000,1012022,100010153000
27,495,0001000000010154000000000,1,1,D,26875,0,2787000,1012022,100010154000
27,495,0001000000010155000000000,1,1,D,64750,0,6710000,1012022,100010155000
27,495,0001000000010156000000000,1,1,D,1213500,0,80851000,1012022,100010156000
27,495,0001000000010158000000000,1,1,D,1089000,0,72556000,1012022,100010158000
27,495,0001000000010159000000000,1,1,D,60300,0,6251000,1012022,100010159000
27,495,0001000000010160000000000,1,2,D,260000,0,96237000,1012022,100010160000
27,495,0001000000010160000000000,2,2,D,260000,0,96237000,1012022,100010160000
27,495,0001000000010162000000000,1,1,D,140063,0,9332000,1012022,100010162000
27,495,0001000000010163000000000,1,1,D,3250,0,337000,1012022,100010163000
27,495,0001000000010164000000000,1,1,D,68000,0,4530000,1012022,100010164000
27,495,0001000000010165000000000,1,1,D,130000,0,13473000,1012022,100010165000
27,495,0001000000010166000000000,1,1,D,115375,0,7687000,1012022,100010166000
27,495,0001000000010167000000000,1,1,D,31375,0,2090000,1012022,100010167000
27,495,0001000000010168000000000,1,1,D,22500,0,2332000,1012022,100010168000
27,495,0001000000010169000000000,1,1,D,380000,0,39384000,1012022,100010169000
27,495,0001000000010170000000000,1,1,A,232,0,1588000,1012022,100010170000
27,495,0001000000010171000000000,1,1,D,157250,0,16296000,1012022,100010171000
27,495,0001000000010172000000000,1,2,D,789750,0,81850000,1012022,100010172000
27,495,0001000000010172000000000,2,2,D,789750,0,81850000,1012022,100010172000
27,495,0001000000010173000000000,1,1,D,6250,0,2314000,1012022,100010173000
27,495,0001000000010174000000000,1,1,D,560000,0,116076000,1012022,100010174000
27,495,0001000000010175000000000,1,1,D,9125,0,947000,1012022,100010175000
27,495,0001000000010176000000000,1,1,D,6000,0,623000,1012022,100010176000
27,495,0001000000010177000000000,1,1,D,580000,0,120223000,1012022,100010177000
27,495,0001000000010178000000000,1,1,D,21500,0,2227000,1012022,100010178000
27,495,0001000000010179000000000,1,1,D,71500,0,7411000,1012022,100010179000
27,495,0001000000010180000000000,1,1,D,50000,0,5183000,1012022,100010180000
27,495,0001000000010181000000000,1,1,D,10000,0,1036000,1012022,100010181000
27,495,0001000000010182000000000,1,1,D,160000,0,16582000,1012022,100010182000
27,495,0001000000010183000000000,1,1,D,1000000,0,103640000,1012022,100010183000
27,495,0001000000010184000000000,1,1,D,710000,0,73584000,1012022,100010184000
27,495,0001000000010185000000000,1,1,D,680000,0,70477000,1012022,100010185000
27,495,0001000000010186000000000,1,1,D,10000,0,1036000,1012022,100010186000
27,495,0001000000010187000000000,1,1,D,960000,0,198989000,1012022,100010187000
27,495,0001000000010188000000000,1,1,D,341438,0,35386000,1012022,100010188000
27,495,0001000000010189000000000,1,1,D,200000,0,20729000,1012022,100010189000
27,495,0001000000010190000000000,1,1,D,160000,0,16582000,1012022,100010190000
27,495,0001000000010191000000000,1,1,D,190000,0,12660000,1012022,100010191000
27,495,0001000000010192000000000,1,1,D,15000,0,1554000,1012022,100010192000
27,495,0001000000010193000000000,1,1,D,60500,0,6270000,1012022,100010193000
27,495,0001000000010194000000000,1,2,D,5000,0,44417000,1012022,100010194000
27,495,0001000000010194000000000,2,2,D,5000,0,44417000,1012022,100010194000
27,495,0001000000010195000000000,1,1,D,1600,0,165000,1012022,100010195000
27,495,0001000000010196000000000,1,1,A,2000,0,212000,1012022,100010196000
27,495,0001000000010197000000000,1,1,A,500,0,3421000,1012022,100010197000
27,495,0001000000010198000000000,1,6,D,4488,0,29902000,1012022,100010198000
27,495,0001000000010198000000000,2,6,D,4488,0,29902000,1012022,100010198000
27,495,0001000000010198000000000,3,6,D,4488,0,29902000,1012022,100010198000
27,495,0001000000010198000000000,4,6,D,4488,0,29902000,1012022,100010198000
27,495,0001000000010198000000000,5,6,D,4488,0,29902000,1012022,100010198000
27,495,0001000000010198000000000,6,6,D,4488,0,29902000,1012022,100010198000
27,495,0001000000010199000000000,1,1,D,1600,0,10659000,1012022,100010199000
27,495,0001000000010200000000000,1,1,A,500,0,3421000,1012022,100010200000
27,495,0001000000010201000000000,1,1,D,22400,0,2323000,1012022,100010201000
